q non-Coulombic_BLPS full_BLPS
   0.0000000000   28.9879349958   28.9879349958
   0.0030000000   28.9878556786 -1396234.4137397849
   0.0060000000   28.9876177439 -349036.8627811219
   0.0090000000   28.9872212426 -155111.3907338089
   0.0120000000   28.9866662591 -87237.4759334574
   0.0150000000   28.9859529117 -55821.5501109069
   0.0180000000   28.9850813520 -38756.1094074108
   0.0210000000   28.9840517650 -28466.1874093669
   0.0240000000   28.9828643685 -21787.6327855606
   0.0270000000   28.9815194129 -17208.8382533706
   0.0300000000   28.9800171809 -13933.6539987737
   0.0330000000   28.9783579869 -11510.3885973475
   0.0360000000   28.9765421765 -9667.2970800142
   0.0390000000   28.9745701264 -8232.9390487816
   0.0420000000   28.9724422432 -7094.8204230398
   0.0450000000   28.9701589630 -6176.6449592391
   0.0480000000   28.9677207509 -5425.1861917314
   0.0510000000   28.9651281003 -4802.3961230951
   0.0540000000   28.9623815317 -4280.4925616641
   0.0570000000   28.9594815926 -3838.8061737965
   0.0600000000   28.9564288557 -3461.7020751329
   0.0630000000   28.9532239193 -3137.1769384287
   0.0660000000   28.9498674050 -2855.8918714286
   0.0690000000   28.9463599579 -2610.4929625288
   0.0720000000   28.9427022449 -2395.1257033028
   0.0750000000   28.9388949540 -2205.0825475987
   0.0780000000   28.9349387933 -2036.5434659338
   0.0810000000   28.9308344895 -1886.3824735976
   0.0840000000   28.9265827874 -1752.0216335334
   0.0870000000   28.9221844483 -1631.3196723834
   0.0900000000   28.9176402492 -1522.4861393013
   0.0930000000   28.9129509812 -1424.0146261212
   0.0960000000   28.9081174489 -1334.6303606717
   0.0990000000   28.9031404685 -1253.2487434575
   0.1020000000   28.8980208673 -1178.9422919316
   0.1050000000   28.8927594818 -1110.9140989635
   0.1080000000   28.8873571570 -1048.4763786420
   0.1110000000   28.8818143367 -991.0330151705
   0.1140000000   28.8761326951 -938.0652811522
   0.1170000000   28.8703126859 -889.1200894150
   0.1200000000   28.8643551745 -843.8002708227
   0.1230000000   28.8582610286 -801.7564930437
   0.1260000000   28.8520311155 -762.6805094715
   0.1290000000   28.8456663031 -726.2994941054
   0.1320000000   28.8391674571 -692.3712672513
   0.1350000000   28.8325354401 -660.6802554713
   0.1380000000   28.8257711103 -631.0340595114
   0.1410000000   28.8188753206 -603.2605278462
   0.1440000000   28.8118489170 -577.2052524699
   0.1470000000   28.8046927378 -552.7294187138
   0.1500000000   28.7974076120 -529.7079530262
   0.1530000000   28.7899943585 -508.0279224410
   0.1560000000   28.7824537847 -487.5871473970
   0.1590000000   28.7747866857 -468.2929960111
   0.1620000000   28.7669938430 -450.0613331788
   0.1650000000   28.7590760233 -432.8156021900
   0.1680000000   28.7510339781 -416.4860201021
   0.1710000000   28.7428684419 -401.0088710458
   0.1740000000   28.7345801319 -386.3258840761
   0.1770000000   28.7261697466 -372.3836842022
