r non-Coulombic_BLPS full_BLPS
   0.0000010000 1000001.5451081210    1.5451081210
   0.0100000000  101.5449962406    1.5449962406
   0.0200000000   51.5446514788    1.5446514788
   0.0300000000   34.8774103206    1.5440769873
   0.0400000000   26.5432729331    1.5432729331
   0.0500000000   21.5422395501    1.5422395501
   0.0600000000   18.2076438055    1.5409771389
   0.0700000000   15.8252003522    1.5394860665
   0.0800000000   14.0377667665    1.5377667665
   0.0900000000   12.6469308497    1.5358197386
   0.1000000000   11.5336455484    1.5336455484
   0.1100000000   10.6221539183    1.5312448274
   0.1200000000    9.8619516059    1.5286182726
   0.1300000000    9.2180743385    1.5257666462
   0.1400000000    8.6655479183    1.5226907755
   0.1500000000    8.1860582188    1.5193915521
   0.1600000000    7.7658699322    1.5158699322
   0.1700000000    7.3944798766    1.5121269354
   0.1800000000    7.0637192008    1.5081636452
   0.1900000000    6.7671391025    1.5039812078
   0.2000000000    6.4995808319    1.4995808319
   0.2100000000    6.2568685504    1.4949637885
   0.2200000000    6.0355859552    1.4901314098
   0.2300000000    5.8329111762    1.4850850893
   0.2400000000    5.6464929473    1.4798262806
   0.2500000000    5.4743564975    1.4743564975
   0.2600000000    5.3148311588    1.4686773127
   0.2700000000    5.1664940614    1.4627903577
   0.2800000000    5.0281258932    1.4566973218
   0.2900000000    4.8986758137    1.4503999516
   0.3000000000    4.7772333837    1.4439000503
   0.3100000000    4.6630059286    1.4371994770
   0.3200000000    4.5553001455    1.4303001455
   0.3300000000    4.4535070548    1.4232040245
   0.3400000000    4.3570896062    1.4159131356
   0.3500000000    4.2655724108    1.4084295537
   0.3600000000    4.1785331828    1.4007554050
   0.3700000000    4.0955955700    1.3928928673
   0.3800000000    4.0164231156    1.3848441682
   0.3900000000    3.9407141487    1.3766115846
   0.4000000000    3.8681974420    1.3681974420
   0.4100000000    3.7986285032    1.3596041130
   0.4200000000    3.7317863980    1.3508340170
   0.4300000000    3.6674710142    1.3418896189
   0.4400000000    3.6055007007    1.3327734279
   0.4500000000    3.5457102194    1.3234879972
   0.4600000000    3.4879489657    1.3140359222
   0.4700000000    3.4320794145    1.3044198400
   0.4800000000    3.3779757616    1.2946424283
   0.4900000000    3.3255227305    1.2847064039
   0.5000000000    3.2746145225    1.2746145225
   0.5100000000    3.2251538903    1.2643695765
   0.5200000000    3.1770513182    1.2539743951
   0.5300000000    3.1302242951    1.2434318423
   0.5400000000    3.0845966678    1.2327448159
   0.5500000000    3.0400980652    1.2219162471
   0.5600000000    2.9966633839    1.2109490982
   0.5700000000    2.9542323275    1.1998463626
   0.5800000000    2.9127489938    1.1886110628
   0.5900000000    2.8721615039    1.1772462496
   0.6000000000    2.8324216676    1.1657550009
   0.6100000000    2.7934846830    1.1541404207
   0.6200000000    2.7553088631    1.1424056373
   0.6300000000    2.7178553901    1.1305538028
   0.6400000000    2.6810880914    1.1185880914
   0.6500000000    2.6449732369    1.1065116985
   0.6600000000    2.6094793545    1.0943278393
   0.6700000000    2.5745770612    1.0820397478
   0.6800000000    2.5402389105    1.0696506752
   0.6900000000    2.5064392515    1.0571638892
   0.7000000000    2.4731541007    1.0445826722
   0.7100000000    2.4403610246    1.0319103204
   0.7200000000    2.4080390315    1.0191501426
   0.7300000000    2.3761684725    1.0063054588
   0.7400000000    2.3447309505    0.9933795992
   0.7500000000    2.3137092358    0.9803759025
   0.7600000000    2.2830871888    0.9672977151
   0.7700000000    2.2528496887    0.9541483900
   0.7800000000    2.2229825670    0.9409312849
   0.7900000000    2.1934725465    0.9276497617
   0.8000000000    2.1643071848    0.9143071848
   0.8100000000    2.1354748211    0.9009069199
   0.8200000000    2.1069645283    0.8874523332
   0.8300000000    2.0787660669    0.8739467898
   0.8400000000    2.0508698429    0.8603936524
   0.8500000000    2.0232668688    0.8467962806
   0.8600000000    1.9959487267    0.8331580291
   0.8700000000    1.9689075343    0.8194822469
   0.8800000000    1.9421359126    0.8057722762
   0.8900000000    1.9156269564    0.7920314508
   0.9000000000    1.8893742063    0.7782630952
   0.9100000000    1.8633716225    0.7644705236
   0.9200000000    1.8376135600    0.7506570383
   0.9300000000    1.8120947461    0.7368259289
   0.9400000000    1.7868102588    0.7229804716
   0.9500000000    1.7617555055    0.7091239266
   0.9600000000    1.7369262054    0.6952595388
   0.9700000000    1.7123183705    0.6813905355
   0.9800000000    1.6879282890    0.6675201257
   0.9900000000    1.6637525093    0.6536514992
   1.0000000000    1.6397878256    0.6397878256
   1.0100000000    1.6160312621    0.6259322522
   1.0200000000    1.5924800085    0.6120878517
   1.0300000000    1.5691316184    0.5982578320
   1.0400000000    1.5459836785    0.5844452169
   1.0500000000    1.5230340107    0.5706530583
   1.0600000000    1.5002806075    0.5568843811
   1.0700000000    1.4777216226    0.5431421833
   1.0800000000    1.4553553603    0.5294294344
   1.0900000000    1.4331802669    0.5157490743
   1.1000000000    1.4111949692    0.5021040602
   1.1100000000    1.3893980767    0.4884971758
   1.1200000000    1.3677884587    0.4749313159
   1.1300000000    1.3463650467    0.4614092945
   1.1400000000    1.3251268745    0.4479338920
   1.1500000000    1.3040730717    0.4345078544
   1.1600000000    1.2832028579    0.4211338923
   1.1700000000    1.2625155353    0.4078146806
   1.1800000000    1.2420104840    0.3945528569
   1.1900000000    1.2216871561    0.3813510216
   1.2000000000    1.2015450702    0.3682117369
   1.2100000000    1.1815838068    0.3551375258
   1.2200000000    1.1618030031    0.3421308720
