1400    0.0100000000
   0.0000000000    0.7624359256   -0.0000004455
   0.0100000000    0.7624354682   -0.0001368957
   0.0200000000    0.7624322909   -0.0005428282
   0.0300000000    0.7624237333   -0.0012109943
   0.0400000000    0.7624072127   -0.0021342784
   0.0500000000    0.7623802066   -0.0033059656
   0.0600000000    0.7623403041   -0.0047186560
   0.0700000000    0.7622850229   -0.0063672020
   0.0800000000    0.7622121493   -0.0082434490
   0.0900000000    0.7621193550   -0.0103417897
   0.1000000000    0.7620046292   -0.0126541073
   0.1100000000    0.7618655735   -0.0151765180
   0.1200000000    0.7617002205   -0.0179016626
   0.1300000000    0.7615067293   -0.0208222542
   0.1400000000    0.7612830785   -0.0239327629
   0.1500000000    0.7610272808   -0.0272276807
   0.1600000000    0.7607379995   -0.0306985221
   0.1700000000    0.7604126172   -0.0343436249
   0.1800000000    0.7600510081   -0.0381500147
   0.1900000000    0.7596490739   -0.0421222410
   0.2000000000    0.7592070364   -0.0462469697
   0.2100000000    0.7587232138   -0.0505193332
   0.2200000000    0.7581962186   -0.0549336193
   0.2300000000    0.7576250914   -0.0594831788
   0.2400000000    0.7570058974   -0.0641697787
   0.2500000000    0.7563393902   -0.0689817564
   0.2600000000    0.7556266935   -0.0739084767
   0.2700000000    0.7548605024   -0.0789590675
   0.2800000000    0.7540467450   -0.0841122973
   0.2900000000    0.7531772710   -0.0893779072
   0.3000000000    0.7522592106   -0.0947349425
   0.3100000000    0.7512824224   -0.1001949402
   0.3200000000    0.7502518781   -0.1057425249
   0.3300000000    0.7491681031   -0.1113710827
   0.3400000000    0.7480272606   -0.1170804528
   0.3500000000    0.7468247452   -0.1228704986
   0.3600000000    0.7455653741   -0.1287290997
   0.3700000000    0.7442480235   -0.1346523977
   0.3800000000    0.7428716620   -0.1406363947
   0.3900000000    0.7414353611   -0.1466769706
   0.4000000000    0.7399383076   -0.1527699030
   0.4100000000    0.7383798153   -0.1589108905
   0.4200000000    0.7367593367   -0.1650955787
   0.4300000000    0.7350764762   -0.1713195900
   0.4400000000    0.7333310014   -0.1775785565
   0.4500000000    0.7315228560   -0.1838681570
   0.4600000000    0.7296521711   -0.1901841576
   0.4700000000    0.7277192765   -0.1965224567
   0.4800000000    0.7257247116   -0.2028791343
   0.4900000000    0.7236692348   -0.2092505055
   0.5000000000    0.7215411166   -0.2156344660
   0.5100000000    0.7193475140   -0.2220250561
   0.5200000000    0.7170932085   -0.2284183304
   0.5300000000    0.7147796814   -0.2348113743
   0.5400000000    0.7124086631   -0.2412017632
   0.5500000000    0.7099558719   -0.2475826749
   0.5600000000    0.7074433301   -0.2539522904
   0.5700000000    0.7048756514   -0.2603093505
   0.5800000000    0.7022489833   -0.2666509040
   0.5900000000    0.6995390375   -0.2729643493
   0.6000000000    0.6967775271   -0.2792569704
   0.6100000000    0.6939675268   -0.2855293779
   0.6200000000    0.6910668103   -0.2917573197
   0.6300000000    0.6881170564   -0.2979573775
   0.6400000000    0.6851217858   -0.3041315533
   0.6500000000    0.6820329002   -0.3102449842
   0.6600000000    0.6789033238   -0.3163288555
   0.6700000000    0.6757147844   -0.3223696106
   0.6800000000    0.6724501021   -0.3283482277
   0.6900000000    0.6691518839   -0.3342984919
   0.7000000000    0.6657654517   -0.3401690302
   0.7100000000    0.6623377642   -0.3459985258
   0.7200000000    0.6588510623   -0.3517693112
   0.7300000000    0.6552969718   -0.3574666550
   0.7400000000    0.6517093745   -0.3631274825
   0.7500000000    0.6480324985   -0.3686821260
   0.7600000000    0.6443384665   -0.3742158270
   0.7700000000    0.6405480945   -0.3796248446
   0.7800000000    0.6367400198   -0.3850089851
   0.7900000000    0.6328482701   -0.3902755387
   0.8000000000    0.6289310352   -0.3955032614
   0.8100000000    0.6249382876   -0.4006159276
   0.8200000000    0.6209171968   -0.4056818074
   0.8300000000    0.6168241425   -0.4106288967
   0.8400000000    0.6127048643   -0.4155290974
   0.8500000000    0.6085125316   -0.4202986762
   0.8600000000    0.6043010260   -0.4250311058
